mes,linha,frame,node_id,altura_px,link_figma,copy
agosto,PT (master Brasil),campanha - 19/08,6495:434,2803,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6495-434,"AS MELHORES FOTOS NÃO SÃO AS NOSSAS... · Hoje é Dia Mundial da Fotografia, e o álbum é de vocês. Reunimos os registros que mais nos orgulhamos de receber. Cantinhos transformados, cômodos organizados, rotinas que ficaram mais leves. · VER OS PRODUTOS NO SITE · CLICADOS POR VOCÊS · RECÉM-CHEGADO · EM USO · COMPRAR · NO DIA A DIA · JÁ É FAVORITO · COMPRAR · Feliz Dia Mundial da Fotografia. · Sua foto ainda não está aqui porque falta escolher o seu. · GARANTIR O MEU · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 21/08,6851:111,3121,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6851-111,"Tantas opçÕES... · Nenhuma escolha ERRADA · Ainda decidindo o que vai renovar primeiro? Relaxa, cada peça dessa seleção já transforma o ambiente. · QUERO ESCOLHER AGORA · Suas escolhas certas · VER TODOS OS PRODUTOS · Já passaram pela mesma dúvida · 5/5 · ""Fiquei dias entre o kit de organização da cozinha e o do banheiro. Levei os dois e foi a melhor decisão, cada cantinho ficou outro. Devia ter comprado antes."" · Camila R. · 5/5 · ""Fiquei dias entre o kit de organização da cozinha e o do banheiro. Levei os dois e foi a melhor decisão, cada cantinho ficou outro. Devia ter comprado antes."" · Rafael M. · Eles também não sabiam qual escolher... · AGORA É A SUA VEZ · ESCOLHER O MEU · Bom fim de semana! Na segunda começa uma semana diferente... · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 24/08,6858:358,3210,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6858-358,"15% OFF · PREÇO CHEIO · OFF · ON · Algumas semanas pedem uma condição melhor. Essa é uma delas. · SEMANA15 · CUPOM: · Válido até sexta, 23h59. · ATIVAR MEUS 15% · Desconto não muda o que você queria comprar · Muda o momento de comprar. Aquilo que você deixou pra depois custa 15% menos até sexta. Depois volta ao normal. · APROVEITAR AGORA · OS FÁCEIS DE ESCOLHER · VER TODO O SITE COM 15% · ON · Fica ligado até sexta. Depois volta ao normal. · SEMANA15 · CUPOM: · Válido até sexta, 23h59. · APROVEITAR A SEMANA · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 26/08,7040:139,1964,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=7040-139,"“SE VALER A PENA” · “TÔ SEM PRESSA” · EM TODO SITE · 15% MENOS ATÉ SEXTA · “DEPENDE DO PREÇO” · “NÃO SEI QUAL” · “TÁ CARO” · ACHE O SEU PONTO DE PARTIDA · O QUE AINDA TE SEGURA? · E SE RESOLVESSE HOJE? · 15%OFF · EM TODO SITE · Não importa por onde você veio. Todas levam a um só caminho. · SEMANA15 · CUPOM: · Válido até sexta, 23h59. · USAR MEU CUPOM · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online. · 15% OFF"
agosto,PT (master Brasil),Campanha - 28/08,7042:113,2116,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=7042-113,"Cupom: SEMANA15 · Essenciais pro lar · Resumo do Pedido · Total · preço cheio · Melhor decisão do dia ✓ · ao todo -15% · Notificação do Futuro · ✦ · Design que organiza · Seu pedido vai estar a caminho. ✓ · Viemos do futuro (não tão distante) avisar que você não deixou essa oferta passar. É o último dia do seu cupom de 15% OFF e você não podia deixar a casa esperando. · O seu eu de amanhã agradece: ║ Essenciais pro lar, com 15% a menos. · APROVEITAR DESCONTO · Válido até sexta, 23h59. · ÚLTIMAS HORAS PRA APROVEITAR · VER TODOS OS PRODUTOS · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,PT (master Brasil),campanha - 31/08,7041:423,3012,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=7041-423,"AGOSTO · FECHA HOJE · As condições em casa e decoração que rodaram o mês inteiro saem do ar à meia-noite. Não precisa de cupom, estão ativas no site até 23h59. · APROVEITAR ENQUANTO DÁ · AGOSTO FECHANDO · 31 · Os preços de agosto valem até 23h59. Depois voltam ao normal. · Sem cupom. Cada item já está com o preço de agosto. · Setembro começa com outros preços. Esse preço fica erm agosto. · O que você separou ainda está lá. Por algumas horas. · HOJE AINDA É AGOSTO. AMANHÃ NÃO. · Esses são só alguns. O site inteiro ainda está com preço de agosto. · VER TUDO ANTES DA VIRADA · ENVIO EXPRESSO · PAGAMENTO SEGURO · QUALIDADE NOS PRODUTOS · Envio rápido em 24/48 horas com código de rastreio. · Todos os produtos são de alta qualidade e originais. · Ambiente seguro para pagamentos online."
agosto,EN Blue Wolf,campaign - 07/29,3728:18345,3960,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=3728-18345,"6,747 REVIEWS · DON'T LIE... · Real reviews on the end-of-summer favorites. Straight from those who wear them daily. · SEE THE GIFTS · SEE WHAT THEY'RE · SAYING · S · Sarah M. · ""Ordered on a Sunday night and had tracking within hours. Every step was updated — no guessing, no wondering. The package arrived two days early, wrapped in that clean minimal packaging that already feels premium before you even open it. Pulled out the linen blend tee and the fabric weight told me everything. This is how online shopping should feel."" · SHOP NOW · J · James R. · ""I've been wearing the structured overshirt almost every day for six weeks now. No pilling, no loose threads, no fading — nothing. The stitching along the collar and cuffs is the kind of detail you notice up close and appreciate more over time. Feels like pieces that cost three times the price. Already planning my next order around it."" · SHOP NOW · E · Emma L. · ""Third order with Wolf Blue and the reason I keep coming back is the support team. Had a sizing question before checkout — messaged them and got a detailed, honest answer within minutes. Not a script, an actual recommendation based on the cut. That kind of care turns a first purchase into a habit. Every interaction has been seamless from click to closet."" · SHOP NOW · VIEW THE FULL STORE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campaign - 07/31,3728:18218,1934,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=3728-18218,To close the month with a golden key and unlock dad's gift. · FRIDAY · REWARDS · End the month on a high note before summer is over. · SUMMER · COUPON: · Apply the coupon at checkout to discover your discount. Valid until Saturday at 11:59 PM. · USE MY GOLDEN KEY · UNLOCK WITH THE KEY: · Apply the code SUMMER at checkout to reveal the discount on each item. · VIEW ALL PRODUCTS · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments.
agosto,EN Blue Wolf,campanha - 03/08,6014:1805,2830,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6014-1805,"WARM UP · 8 · END OF SUMMER · O presente que transforma a casa do pai já tá no site. E os favoritos não duram muito. · Start claiming your summer favorites now, before the best ones are gone. · SHOP THE WARM-UP · Every summer ends the same way: · The season winds down, you finally reach for that piece and it's already sold out. Not this year. The warm-up is live — active deals on the essentials that move fastest. And on 8.8, flash deals unlock at three set times. Shop now. Come back on 8.8. Stay ahead on both. · SHOP ACTIVE DEALS · MARK THESE TIMES · FlASH · 07AM · DROPS · 11AM · UNLOCKED AT: · 18PM · Only on 8.8. Valid sitewide. · ALREADY LIVE IN THE WARM-UP: · SEE ALL ACTIVE DEALS · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 05/08,6014:1956,3399,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6014-1956,"WARM UP · 8 · END OF SUMMER · 3 DAYS LEFT Bookmark your summer favorites now. On 8.8, just check out. · I WANT TO GET READY · How many days left UNTIL 8.8? · 3 DAYS left until 8.8 · It's on 8.8 · Starts from 7am · A full day of deals · 3 days until 8.8 — and the biggest end-of-summer moment already has a schedule. Start curating your picks today. When the flash deals go live, you won't need to rush. You'll just confirm what's already waiting. The warm-up is still running: selected summer essentials are live on site right now, and the best sellers are moving fast. · APROVEITAR AGORA · SHOP THE WARM-UP · HOW 8.8 WILL WORK: · EARLY ACCESS · 7AM · The site opens with full stock. First come, first served. · HIGHLIGHTS · 11PM · The best-selling products get an exclusive showcase. There's still time to grab yours. · LAST CALL · 18PM · The end of 8.8. After that, the deals go offline for good. · Only on 8.8. Deals valid sitewide. · I WANT TO GET READY · ALREADY ON SALE IN THE WARM-UP: · SEE ALL ACTIVE DEALS · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 07/08,6014:2127,3250,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6014-2127,"First come · Already picked what you're buying? · Checked the site for special deals yet? · Noted the times: 7AM, 11AM, and 6PM? · Set your alarm for 6:55AM to get in before everyone? · FIRST SERVED · It's tomorrow · 8 · END OF SUMMER · 7AM · 11AM · 18PM · GET EVERYTHING READY · Tomorrow is the day · The 8.8 End of Summer arrives — and with it, flash drops at three precise moments: 7AM, 11AM, and 6PM. Today is your last window to walk in prepared. Pull up your favourites now — tomorrow, when the window opens, you simply move. And the warm-up is still live: there are pieces on site right now, for anyone who'd rather not wait another day. · SEE WHAT'S ALREADY LIVE · READY FOR TOMORROW? · Missed something? There's still time. The warm-up is running now. · SEE WHAT'S ALREADY LIVE · ALREADY ON SALE IN THE WARM-UP: · SEE ALL ACTIVE DEALS · IT'S TOMORROW. · 8.8 · END OF SUMMER · First batch starts at 7AM → · GO TO WEBSITE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 08/08 #2,6208:111,2770,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6208-111,"END OF SUMMER · The first 100 get their summer favorites with this special deal. · Use the coupon · to secure yours · 0808 · 18% OFF sitewide · SHOP NOW · But hurry: this offer expires at 11:59 PM. · TODAY'S TOP PICKS: · VIEW ALL PRODUCTS · STILL NOT SURE WHAT TO GET? · The 18% OFF applies to the entire store. Take your time choosing, but don't wait too long — the first 100 at this time slot get priority. · BROWSE THE ENTIRE STORE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 08/08 #3,6208:264,3230,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6208-264,END OF SUMMER · Thomas K. · Check the site.. 18% OFF on everything today with coupon 0808. · Already got mine. Half the stuff I had my eye on is already sold out · James R. · Really? Is there still good stuff? · Thomas K. · They do! But it's going fast... and only until midnight. Don't leave it for later · James R. · I'm going now!! · 18%OFF · 0808 · COUPON: · GET DAD'S GIFT NOW · SHOP NOW · Only until midnight tonight. · THERE'S STILL TIME TO GRAB THESE: · VIEW ALL PRODUCTS · NOW OR NEVER · The 8.8 sale ends at midnight. Last hours to grab the gift with 18% OFF. · 18%OFF · 0808 · COUPON: · GET IT BEFORE MIDNIGHT · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments.
agosto,EN Blue Wolf,campanha - 11/11,6208:439,1863,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6208-439,Still available · BLUE WOLF: · Now · The pieces your capsule wardrobe was missing still live on site — but only a handful left in stock. · SHOP BEFORE THEY'RE GONE · THE MOST CHOSEN FROM 8.8 · SEE WHAT'S STILL HERE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments.
agosto,EN Blue Wolf,campanha - 14/08,6555:2980,2579,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6555-2980,THE WEEKEND STARTS NOW · friyay · This Friday is worth checking out the site. We've picked what's trending for your weekend. · CHECK THE SITE NOW · SOME HIGHLIGHTS OF WHAT'S ON THE SITE · VIEW FULL SITE · Have a great weekend · BROWSE THE SITE · We'll be back on Monday with a surprise. · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments.
agosto,EN Blue Wolf,campanha - 17/08,6555:3221,2635,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6555-3221,TURBO MONDAY | ONLY FOR THE · FIRST 100 · Apply the code at checkout to reveal your offer. No one knows how much it's worth until they enter it. Valid until midnight today. · TURBO100 · COUPON: · DISCOVER NOW · $ · % · ? · ONLY THE FASTEST WIN · Enter the coupon TURBO100 and discover the surprise at checkout. · REVEAL MY SURPRISE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments.
agosto,EN Blue Wolf,campanha - 19/08,6555:3110,2803,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6555-3110,"THE BEST PHOTOS AREN'T OURS... · Today is World Photography Day, and the album belongs to you. We gathered some of the shots we love receiving most quiet moments, honest light, real style. · VIEW PRODUCTS ON THE SITE · CAPTURED BY YOU · JUST ARRIVED · FIRST WEAR · SHOP NOW · EVERYDAY UNIFORM · ALREADY A FAVOURITE · SHOP NOW · Happy World Photography Day. · Your photo isn't here yet because you still need to pick yours. · GET MINE · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 21/08,6876:4936,3121,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6876-4936,"So many OPTIONS... · No WRONG choice · Still deciding which one to go with? With a lineup like this, every pick is a good pick. · I WANT TO CHOOSE NOW · Your right choices · VIEW ALL PRODUCTS · They had the same doubt · 5/5 · ""I kept going back and forth between two pieces for a week. Finally just picked one, and honestly, I should have done it sooner. The quality is exactly what the photos promise."" · James R. · 5/5 · ""Wasn't sure about ordering online for something like this, but the fabric and the fit genuinely surprised me. Arrived faster than expected too. Already came back for a second order."" · Daniel M. · They also didn't know which one to choose... · NOW IT'S YOUR TURN · CHOOSE MINE · Have a great weekend! On Monday a different week begins... · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
agosto,EN Blue Wolf,campanha - 24/08,6876:5139,3210,https://www.figma.com/design/hBrwHZnGuySRZvAEZFGUyD/?node-id=6876-5139,"15% OFF · FULL PRICE · OFF · ON · Some weeks call for a better deal. This is one of them. · WE EK15 · COUPON: · Valid until Friday, 11:59 PM. · ACTIVATE MY 15% · The discount doesn't change what you wanted to buy · It changes the moment to buy. What you put off until later costs 15% less until Friday. After that, it goes back to normal. · SHOP NOW · THE EASY PICKS · VIEW ENTIRE SITE WITH 15% OFF · 15% OFF · ON · Stay tuned until Friday. After that, it goes back to normal. · WE EK15 · COUPON: · Valid until Friday, 11:59 PM. · ENJOY THE WEEK · ENVIO EXPRESSO · SECURE PAYMENT · PRODUCT QUALITY · Envio rápido em 24/48 horas com código de rastreio. · All products are high quality and original. · Secure environment for online payments."
